2017-05-18 13:15:53 INFO  Homepage:69 - clicking on signin:[[OperaDriver: chrome on XP (841f6df09964213dae74bcba73265c4c)] -> xpath: //a[@class='signinLink'][text()='Log In'] ]
2017-05-18 13:15:54 INFO  Homepage:69 - clicking on signin:[[OperaDriver: chrome on XP (841f6df09964213dae74bcba73265c4c)] -> xpath: //a[@class='signinLink'][text()='Log In'] ]
2017-05-18 13:20:22 INFO  Homepage:69 - clicking on signin:[[OperaDriver: chrome on XP (4aa0de3bdf626ac100b2c21475b083cc)] -> xpath: //a[@class='signinLink'][text()='Log In'] ]
2017-05-18 13:20:35 INFO  Homepage:81 - alert text is:
2017-05-18 13:20:35 INFO  Homepage:69 - clicking on signin:[[OperaDriver: chrome on XP (4aa0de3bdf626ac100b2c21475b083cc)] -> xpath: //a[@class='signinLink'][text()='Log In'] ]
2017-05-18 13:20:48 INFO  Homepage:81 - alert text is:
2017-05-18 13:20:48 INFO  Homepage:69 - clicking on signin:[[OperaDriver: chrome on XP (4aa0de3bdf626ac100b2c21475b083cc)] -> xpath: //a[@class='signinLink'][text()='Log In'] ]
2017-05-18 13:21:01 INFO  Homepage:81 - alert text is:
2017-05-18 13:21:01 INFO  Homepage:69 - clicking on signin:[[OperaDriver: chrome on XP (4aa0de3bdf626ac100b2c21475b083cc)] -> xpath: //a[@class='signinLink'][text()='Log In'] ]
2017-05-18 13:21:02 INFO  Homepage:69 - clicking on signin:[[OperaDriver: chrome on XP (4aa0de3bdf626ac100b2c21475b083cc)] -> xpath: //a[@class='signinLink'][text()='Log In'] ]
2017-05-18 13:21:02 INFO  Homepage:69 - clicking on signin:[[OperaDriver: chrome on XP (4aa0de3bdf626ac100b2c21475b083cc)] -> xpath: //a[@class='signinLink'][text()='Log In'] ]
2017-05-18 13:21:03 INFO  Homepage:69 - clicking on signin:[[OperaDriver: chrome on XP (4aa0de3bdf626ac100b2c21475b083cc)] -> xpath: //a[@class='signinLink'][text()='Log In'] ]
2017-05-18 13:24:31 INFO  Homepage:69 - clicking on signin:[[OperaDriver: chrome on XP (ebd33f5bf74f461ecca2942166a70247)] -> xpath: //a[@class='signinLink'][text()='Log In'] ]
2017-05-18 13:24:41 INFO  Homepage:69 - clicking on signin:[[OperaDriver: chrome on XP (ebd33f5bf74f461ecca2942166a70247)] -> xpath: //a[@class='signinLink'][text()='Log In'] ]
2017-05-18 13:24:51 INFO  Homepage:69 - clicking on signin:[[OperaDriver: chrome on XP (ebd33f5bf74f461ecca2942166a70247)] -> xpath: //a[@class='signinLink'][text()='Log In'] ]
2017-05-18 13:25:01 INFO  Homepage:69 - clicking on signin:[[OperaDriver: chrome on XP (ebd33f5bf74f461ecca2942166a70247)] -> xpath: //a[@class='signinLink'][text()='Log In'] ]
2017-05-18 13:25:02 INFO  Homepage:69 - clicking on signin:[[OperaDriver: chrome on XP (ebd33f5bf74f461ecca2942166a70247)] -> xpath: //a[@class='signinLink'][text()='Log In'] ]
2017-05-18 13:25:02 INFO  Homepage:69 - clicking on signin:[[OperaDriver: chrome on XP (ebd33f5bf74f461ecca2942166a70247)] -> xpath: //a[@class='signinLink'][text()='Log In'] ]
2017-05-18 13:25:03 INFO  Homepage:69 - clicking on signin:[[OperaDriver: chrome on XP (ebd33f5bf74f461ecca2942166a70247)] -> xpath: //a[@class='signinLink'][text()='Log In'] ]
2017-05-18 13:29:43 INFO  Homepage:69 - clicking on signin:[[OperaDriver: chrome on XP (0f27f72ecb15b2045b7bd05b10ddc3e6)] -> xpath: //a[@class='signinLink'][text()='Log In'] ]
2017-05-18 13:29:47 INFO  Homepage:69 - clicking on signin:[[OperaDriver: chrome on XP (0f27f72ecb15b2045b7bd05b10ddc3e6)] -> xpath: //a[@class='signinLink'][text()='Log In'] ]
2017-05-18 13:29:47 INFO  Homepage:69 - clicking on signin:[[OperaDriver: chrome on XP (0f27f72ecb15b2045b7bd05b10ddc3e6)] -> xpath: //a[@class='signinLink'][text()='Log In'] ]
2017-05-18 13:29:48 INFO  Homepage:69 - clicking on signin:[[OperaDriver: chrome on XP (0f27f72ecb15b2045b7bd05b10ddc3e6)] -> xpath: //a[@class='signinLink'][text()='Log In'] ]
2017-05-18 13:29:49 INFO  Homepage:69 - clicking on signin:[[OperaDriver: chrome on XP (0f27f72ecb15b2045b7bd05b10ddc3e6)] -> xpath: //a[@class='signinLink'][text()='Log In'] ]
2017-05-18 13:29:49 INFO  Homepage:69 - clicking on signin:[[OperaDriver: chrome on XP (0f27f72ecb15b2045b7bd05b10ddc3e6)] -> xpath: //a[@class='signinLink'][text()='Log In'] ]
2017-05-18 15:20:27 INFO  Homepage:69 - clicking on signin:[[OperaDriver: chrome on XP (01b6da8976b31db04309eaad5187380b)] -> xpath: //a[@class='signinLink'][text()='Log In'] ]
2017-05-18 15:20:30 INFO  Homepage:69 - clicking on signin:[[OperaDriver: chrome on XP (01b6da8976b31db04309eaad5187380b)] -> xpath: //a[@class='signinLink'][text()='Log In'] ]
2017-05-18 15:20:30 INFO  Homepage:69 - clicking on signin:[[OperaDriver: chrome on XP (01b6da8976b31db04309eaad5187380b)] -> xpath: //a[@class='signinLink'][text()='Log In'] ]
2017-05-18 15:23:35 INFO  Homepage:69 - clicking on signin:[[OperaDriver: chrome on XP (1ab6f8bb896e1adccde3d01ce8305eb7)] -> xpath: //a[@class='signinLink'][text()='Log In'] ]
2017-05-18 15:23:38 INFO  Homepage:69 - clicking on signin:[[OperaDriver: chrome on XP (1ab6f8bb896e1adccde3d01ce8305eb7)] -> xpath: //a[@class='signinLink'][text()='Log In'] ]
2017-05-18 15:26:46 INFO  Homepage:69 - clicking on signin:[[OperaDriver: chrome on XP (b1c608da4ce1211c101c8f1805374709)] -> xpath: //a[@class='signinLink'][text()='Log In'] ]
2017-05-18 15:28:54 INFO  Homepage:69 - clicking on signin:[[OperaDriver: chrome on XP (6b73121663389e34eec954c650a2980e)] -> xpath: //a[@class='signinLink'][text()='Log In'] ]
2017-05-18 15:34:33 INFO  Homepage:69 - clicking on signin:[[OperaDriver: chrome on XP (615046ca7a0cf4053026e2d93899209c)] -> xpath: //a[@class='signinLink'][text()='Log In'] ]
2017-05-18 15:43:29 INFO  Homepage:69 - clicking on email:[[OperaDriver: chrome on XP (437b5d5192b9b9bc86dbd98c1ea294b8)] -> xpath: //input[@id='home_username']]
